2026-08-22 15:36:06,044 | INFO | hr_assistant.evaluation | Creating dataset 'hr-policy-qna' with 10 example(s)
2026-08-22 15:36:07,274 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-08-22 15:36:07,275 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-08-22 15:36:08,743 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-08-22 15:36:08,746 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-08-22 15:36:08,747 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-08-22 15:36:08,747 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-22 15:36:09,120 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-22 15:36:10,277 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-08-22 15:36:11,202 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-22 15:36:19,447 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-08-22 15:36:19,453 | INFO | hr_assistant.llm | Initializing LLM via Portkey
2026-08-22 15:36:19,453 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=@hrpolicy)
2026-08-22 15:36:20,807 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-08-22 15:36:20,818 | INFO | hr_assistant.agent | HR agent ready
2026-08-22 15:36:20,818 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-08-22 15:36:20,818 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-08-22 15:36:20,819 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-22 15:36:22,196 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-08-22 15:36:22,644 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-22 15:36:23,157 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-08-22 15:36:23,159 | INFO | hr_assistant.evaluation | Running evaluation against dataset 'hr-policy-qna'
2026-08-22 15:36:25,564 | INFO | hr_assistant.pipeline | User question: How many days per week can I work from home?
